years,Albania_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,EU_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Austria_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Belgium_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Bulgaria_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Cyprus_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Czechia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Germany_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Denmark_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Estonia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Greece_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Spain_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Finland_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,France_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Croatia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Hungary_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Ireland_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Iceland_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Italy_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Liechtenstein_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Lithuania_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Luxembourg_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Latvia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Montenegro_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,North Macedonia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Malta_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Netherlands_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Norway_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Poland_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Portugal_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Romania_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Serbia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Sweden_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Slovenia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Slovakia_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Turkiye_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Bosnia and Herzegovina_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent,Switzerland_trend_Total_greenhouse_gas_emissions_(without_LULUCF)_Percent
2002,149.0502871042,92.1346843984,109.3210281461,100.8832073759,58.4426538191,151.7874848055,74.5588870799,82.6540221303,102.3614532402,42.9183499293,122.8250900193,139.1574614854,108.8772405726,100.6436555157,89.0352324895,79.6477689868,123.6944789154,112.9379545702,109.0783727619,110.4984750315,42.2482566877,85.8283346267,41.2612235666,96.3281008771,100.2783244903,115.9918110201,98.183923139,107.1739506092,80.1821296509,146.2320228692,57.427715098,81.2229437537,97.6093129974,107.7221069119,67.0946370154,128.2914394723,47.2339351811,97.7563888013
2003,157.2550788529,93.6659006149,116.0674897842,101.1004680927,63.3858357872,158.7629922023,75.5976438679,81.9798697277,109.2362834575,47.7213466618,126.5275071396,141.6292430955,119.4311294259,101.3928331628,93.5861658077,82.7875197455,124.4753130806,112.1572077938,112.7996110473,114.9299683404,42.6602315171,89.3803343328,41.9721241737,90.074606314,99.4580057304,124.4581468505,98.4886697359,108.3847599929,82.9909880389,137.5130111041,59.740147374,84.7654568282,98.0465258991,105.9545661598,67.5369424729,136.9124137713,48.281624475,99.6263769146
2004,165.6685318648,93.6370182872,115.8164064722,101.6801193299,62.5046882068,162.8323410104,76.3737361344,80.1108165191,101.0140064458,48.063846603,127.1483357386,147.0003128208,114.0896685762,101.3058585136,93.4557002513,81.6198380868,123.2399744676,115.1853831904,113.8500407048,115.0516723812,44.3559346666,100.1281804894,41.6765640772,88.5501422861,92.2000340485,120.9217072829,99.1651827365,109.110231362,84.1432003511,142.9086606358,59.0963140491,92.5262884255,97.0921495338,108.0567823451,68.4484690935,141.1133869258,51.2633692962,100.6893849668
2005,164.2500558546,93.297708788,117.2309311314,99.5610133744,63.0388641265,165.3669943217,75.391021388,79.0279721201,95.0627218869,47.5121938731,131.5075753836,152.2181227274,97.3233935567,101.5647518781,94.9273925816,81.5170806565,125.8634732814,111.3694748915,114.0161829941,115.2773854219,46.1745207938,102.1288110199,42.3554725602,78.1730632818,94.6212475182,113.8239756871,96.5641198358,106.9077596222,84.1365774308,146.0396235479,58.5947912464,83.5717177277,93.045574479,109.3885732409,68.4724827731,151.248539036,48.3544724704,101.916324689
2006,165.4522997123,93.36955008,114.1654396079,97.7550552937,63.801951016,169.868876232,76.0013518685,80.1077580967,105.6449354732,45.8895931293,128.1629663036,150.2328351417,113.195942657,99.6211891452,96.1725657741,79.9455282754,124.2843711315,126.4171315992,112.0041915972,116.8566365867,46.8719680904,100.7717023258,44.1349250561,83.5720067763,90.9870995473,115.585102592,94.2648020056,106.8552587506,87.2450566848,137.7765327148,59.1785973639,87.6735117381,92.5532941793,110.2958529015,68.3776587766,160.234657586,54.993451024,101.2288934275
2007,173.9316035682,92.3534373565,110.645171506,95.276967764,67.686423861,175.4017143087,76.8018091437,76.8914071749,99.1570276986,54.7056595366,130.6763490565,153.9074792292,110.8126136693,97.8215527229,100.6873719743,78.1842577448,123.1814493021,134.6667213329,110.9303750042,104.0527611938,50.9926684735,96.1657065037,45.8526016728,83.9062330488,95.8158381671,119.0606150379,93.6199173227,110.1237369473,87.0656100619,133.8703899463,60.3543699358,88.4590925397,90.9253044572,111.2481448686,65.8360501087,175.0667266391,55.1896999984,97.7805657921
2008,175.7620612535,90.5638483078,109.907633239,95.2629222861,66.3308588033,179.4366470357,74.0340990532,77.5341630677,94.1433443271,49.4956076666,127.4405086341,142.2822288102,99.4716858674,96.9339693702,97.6608915593,76.0234303762,121.8750547053,144.9569072016,108.434524099,112.6666400296,49.1112557941,95.302413409,44.0900793717,98.6954326582,93.7706397663,115.7572512339,93.5117981222,107.1596675989,85.5903314942,129.6629609171,59.0587352219,87.6206770069,87.5583505624,115.0952913104,66.3784262028,173.3009653366,59.8628401495,100.2609117914
2009,187.1577651711,84.0573483025,101.601244531,86.5740824534,57.3460106777,175.0309095239,69.4550675916,72.0427556985,90.3654388711,40.96299147,120.5238447622,128.6527870352,94.3293909338,93.1062636526,90.8457721624,69.7024026894,111.5158469001,136.7937943781,97.8506654596,106.1783478347,40.6768520409,90.9944450824,41.4599176024,60.8001819259,90.1366740691,110.7170269504,90.9317819506,102.3187904413,81.7276310831,124.4405020998,50.744696622,79.212720041,81.6291416504,103.5666386691,60.6252984842,176.141243032,69.860258158,97.5818058016
2010,190.7094800801,85.7172469297,107.3104598137,91.5144304117,60.0208701499,169.1078230164,71.2172179781,74.2775314197,90.601564879,52.3869546056,114.6648353512,123.3634650579,105.4227488794,93.8112659596,89.603568219,70.384785088,110.8767037389,134.2219829377,100.0210927595,99.6314396501,42.6464520003,95.5873897028,45.604082065,81.6822305118,91.3673583856,112.9045679975,96.2952277399,106.826831003,85.2646017758,116.9814065974,48.6340389591,77.177258656,90.0565411239,104.7677728609,61.8612216716,177.9164428259,75.609756814,100.476430288
2011,197.3774826505,83.4653042995,104.55821948,84.3606231779,65.4568918361,164.2986870483,69.8017488551,72.3999590748,83.3746567402,52.2837776802,111.8021540577,123.2230329261,94.6071131295,89.3022804029,88.6993589918,68.6361102362,103.7703473724,128.4685980383,97.489956822,93.9947981393,43.4172967869,94.6141893102,42.5247662303,79.3165677757,100.5666632243,113.1356200494,89.9305668476,104.8646172579,84.9615901372,114.5857980953,51.5321780726,83.5121152397,83.904294589,104.371369375,60.3607469086,190.8548343635,82.5645079279,92.9623662235
2012,193.5517305712,82.0118147091,101.087492358,82.5033762788,60.331546121,154.651903568,67.9160863368,73.2193495958,77.0661396784,49.5245463882,108.6775933254,120.6912272963,86.768729815,89.7601928434,83.1966452865,65.1878144879,104.7077440652,128.2325263234,93.7642920785,98.0323972726,43.377522591,92.7565376301,41.8420554656,70.5252902052,96.2038961678,119.6639548771,88.0067459882,103.7162799773,83.3831936763,111.1231248044,50.3588675159,75.5152262473,79.8129689086,101.0289411836,57.1516851534,199.7665345532,64.0840289876,95.4621006064
2013,214.7741746763,80.1771338251,101.5655492954,82.5566850454,54.8629926021,141.9841326938,65.4811742258,74.5758477523,79.4103926725,54.1861060413,99.3941494657,111.4891225341,87.4746082012,89.5980303223,79.3334148223,62.037247501,104.0778817034,128.3290373604,86.8745725092,100.7414428531,40.9866759696,88.643586423,41.5128872867,67.0962371379,88.7554812266,107.9336452655,87.7495139697,104.1498376978,82.5530900558,107.8415024,45.92683681,77.5905608678,77.5383088128,97.3185926904,56.7119753941,196.395142892,70.5832451373,96.9538432371
2014,208.8224929347,77.2594651763,96.9781025306,78.6204142991,57.9082376544,148.3529820037,64.201486409,71.3471243797,73.6066625242,52.106594808,96.1078900499,111.7589765766,81.6726858153,83.5711631069,77.005400737,62.395698618,104.23430726,128.437740401,82.7997257165,87.1288048082,40.7729934102,84.7338693334,41.1825049388,66.1736724833,85.2320966596,108.3510076293,84.0568727766,104.9232566689,79.9044074193,107.6300190543,46.0224476457,66.3016675694,75.1115550726,88.4857570108,53.9881581582,204.7661078429,76.5555764112,89.8102553495
2015,209.5940925413,78.2631598075,99.6706245097,81.4816812027,61.1019411041,149.191193739,64.4118088994,72.0079778867,69.8203264989,44.4936212008,92.3914713885,115.8063839014,76.6938840776,84.1789525505,78.4527211955,65.7457875908,108.4174130329,130.6820131264,84.8183064592,86.4319508006,41.4226165354,81.0338981819,41.3202689861,68.7362825359,82.0747159948,81.7331567278,87.237756865,105.9596298718,80.4503591221,114.7281530924,45.5125954417,75.6336016765,74.8331456964,89.4935815684,55.031654066,210.680948694,78.9713686816,88.8822632685
2016,209.8981258191,78.1941100148,100.8768526107,80.4921217796,58.4457489443,157.1506835489,65.4400072458,71.6455712093,72.5755460732,48.5114472957,88.8570696349,111.7686115765,80.6958784,84.6253661833,78.9888886203,66.4097907135,112.5240628545,129.3965929284,84.1648726925,81.8881257013,41.5348611147,79.1913994121,41.2893075487,63.57455207,80.7412129817,70.5027506794,87.5075619957,104.235502652,82.7220895064,111.5904113473,44.7477030682,77.4203781886,74.7131708601,94.1891371252,55.7811212422,220.9814876329,87.1739648315,89.5255079595
2017,224.696715289,78.6269724558,103.7855786534,80.0692823388,60.2554857804,160.1157843333,65.9139929951,70.4434628611,69.3183310535,51.5598611969,92.5582832339,116.2664400757,76.6911234535,85.0853337631,81.6797471635,68.7139877827,111.1343258572,131.7541541825,82.8659667926,84.338819388,41.7970113619,80.6175384731,41.4429064955,66.3510085205,87.9417178311,76.8020403421,86.2919784299,102.8980352564,85.7909286145,120.3225522023,45.9030168241,78.3099824047,73.4436758965,94.6362663188,57.3317859843,232.8844817255,89.4117495004,87.9052609991
2018,229.803092387,76.9590643253,99.7742531428,80.5858782031,55.8487883007,158.1495217538,64.6838183489,68.0980640904,69.0957655963,49.5451284579,89.4467931435,114.2757788787,78.149880249,81.5549534312,78.1095932443,68.6691772654,110.5149161014,133.3509829668,82.0907403926,78.9833215679,41.0754742295,82.9813933807,43.2542975233,71.0620968213,83.8224277397,76.8492023058,83.9773906512,103.1909148681,85.7981821747,114.0146577492,46.1917630582,77.1807022321,72.2358544139,93.7708318296,57.1390927809,231.7160883194,91.562116575,85.0959715641
2019,230.3282407759,73.6331073275,101.2803513987,79.8710732934,54.5281127314,150.9541330756,61.9244509004,63.7216342725,63.6193620064,36.0311069591,82.9990735659,107.758062714,73.4254001309,79.7810554647,78.6475765965,68.4135415444,107.2450335413,129.3797884633,79.8348571441,81.9147734373,41.511016328,84.291596508,42.7337637611,73.1156481319,90.7573774559,80.9810082562,81.3655667615,99.7486957502,81.1104778585,107.9609873798,44.931945787,75.9695902432,70.4973385638,90.9885908149,53.9493019066,226.2712967543,,84.6552511554
2020,,67.6613439311,93.7925507703,73.4466697704,48.4660345274,144.6027347445,57.083599836,58.5272197163,59.9902835201,28.1479674085,72.9667628733,94.1211897176,66.5199599142,72.465172015,75.7393345377,66.3106265543,103.3798356167,124.2158006208,72.6811348549,78.585511169,41.265537576,71.0489866194,40.3071980499,72.0057331698,,79.432115992,73.9408998671,96.4433201015,77.9769745216,97.5927949016,43.4548708917,77.5542269151,64.5783426117,84.465343238,50.2735406683,232.8529659462,,79.9001821857
2021,,71.1036510738,98.0558117745,75.3667344944,54.6435511323,146.6674244065,59.8192603363,60.7975385986,61.242085812,31.2039213237,75.0238339328,100.3186643864,66.567074641,76.7977556075,77.4204744248,67.446414312,108.0609551677,127.5618312605,78.8383289374,79.9522484921,41.5838564753,73.722961913,41.1433864404,71.8110807901,,79.9737838306,74.941567172,96.1527677598,83.8588436335,95.3470601525,44.9565198466,75.2240567772,67.0218401132,85.2399188449,55.6641417464,251.202235901,,82.2811214682
2022,,69.2756373513,92.3310842574,70.7061272842,59.0453085358,149.4953423898,58.5988578729,59.7887499993,59.0317720452,35.1290083318,74.7899135818,101.9681284636,63.6343831081,73.8134493452,77.7206875314,62.9278127669,105.7872583449,128.979448382,78.9867019264,72.2005894326,38.7885415935,64.3934463982,38.8120997412,72.4144405778,,86.0347441241,68.8202009726,95.399791761,79.990338961,95.7375424546,42.7324645561,,62.0781339723,82.6286937472,50.1683607255,245.1410296711,,75.8359048914
2023,,63.7368900721,86.2783929191,67.440995889,45.8194000099,152.3740523842,52.2195001752,53.6587155019,54.2088711872,26.9689965691,69.1783063849,94.1785378787,57.2373101065,68.8647931753,80.5592930617,57.2223123808,98.5636285737,125.319959173,73.5951730436,73.2497113867,37.6434423549,60.9018814362,38.286930784,,,85.5114781624,63.9276651122,90.9002325887,73.1835347946,90.3838870204,40.4705903319,,62.3369408593,78.6281261984,49.1267840711,241.7295759781,,73.9392479905
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
